ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.099999756822500530e+02,5.768920527414996968e+01,-1.178398773200002303e+01
1.099999756822550410e+02,5.768920527414498167e+01,-1.178398773200002303e+01
1.099999756822595316e+02,5.768920527414049104e+01,-1.178398773200002303e+01
1.099999756822635817e+02,5.768920527413646226e+01,-1.178398773200002303e+01
1.099999756822672197e+02,5.768920527413281718e+01,-1.178398773200002303e+01
1.099999756822704882e+02,5.768920527412954868e+01,-1.178398773200002303e+01
1.099999756822734298e+02,5.768920527412661414e+01,-1.178398773200002303e+01
1.099999756822760730e+02,5.768920527412396382e+01,-1.178398773200002303e+01
1.099999756822784605e+02,5.768920527412158350e+01,-1.178398773200002303e+01
1.099999756822806063e+02,5.768920527411943766e+01,-1.178398773200002303e+01
1.099999756822825390e+02,5.768920527411750498e+01,-1.178398773200002303e+01
1.099999756822842869e+02,5.768920527411575705e+01,-1.178398773200002303e+01
1.099999756822858501e+02,5.768920527411419386e+01,-1.178398773200002303e+01
1.099999756822872712e+02,5.768920527411277988e+01,-1.178398773200002303e+01
1.099999756822885359e+02,5.768920527411150800e+01,-1.178398773200002303e+01
1.099999756822896870e+02,5.768920527411036403e+01,-1.178398773200002303e+01
1.099999756822907102e+02,5.768920527410933374e+01,-1.178398773200002303e+01
1.099999756822916481e+02,5.768920527410840293e+01,-1.178398773200002303e+01
1.099999756822924724e+02,5.768920527410757870e+01,-1.178398773200002303e+01
1.099999756822932255e+02,5.768920527410682553e+01,-1.178398773200002303e+01
1.099999756822938934e+02,5.768920527410615762e+01,-1.178398773200002303e+01
1.099999756822945045e+02,5.768920527410554655e+01,-1.178398773200002303e+01
1.099999756822950445e+02,5.768920527410499943e+01,-1.178398773200002303e+01
1.099999756822955419e+02,5.768920527410450205e+01,-1.178398773200002303e+01
1.099999756822959966e+02,5.768920527410405441e+01,-1.178398773200002303e+01
1.099999756822963803e+02,5.768920527410366361e+01,-1.178398773200002303e+01
1.099999756822967498e+02,5.768920527410330834e+01,-1.178398773200002303e+01
1.099999756822970625e+02,5.768920527410298860e+01,-1.178398773200002303e+01
1.099999756822973467e+02,5.768920527410269727e+01,-1.178398773200002303e+01
1.099999756822976167e+02,5.768920527410242727e+01,-1.178398773200002303e+01
1.099999756822978441e+02,5.768920527410219989e+01,-1.178398773200002303e+01
1.099999756822980714e+02,5.768920527410197963e+01,-1.178398773200002303e+01
1.099999756822982562e+02,5.768920527410178778e+01,-1.178398773200002303e+01
1.099999756822984267e+02,5.768920527410162435e+01,-1.178398773200002303e+01
1.099999756822985688e+02,5.768920527410147514e+01,-1.178398773200002303e+01
1.099999756822987109e+02,5.768920527410133303e+01,-1.178398773200002303e+01
1.099999756822988388e+02,5.768920527410120513e+01,-1.178398773200002303e+01
1.099999756822989525e+02,5.768920527410109145e+01,-1.178398773200002303e+01
1.099999756822990520e+02,5.768920527410099197e+01,-1.178398773200002303e+01
1.099999756822991515e+02,5.768920527410089960e+01,-1.178398773200002303e+01
1.099999756822992225e+02,5.768920527410082144e+01,-1.178398773200002303e+01
1.099999756822992936e+02,5.768920527410075039e+01,-1.178398773200002303e+01
1.099999756822993646e+02,5.768920527410068644e+01,-1.178398773200002303e+01
1.099999756822994215e+02,5.768920527410062249e+01,-1.178398773200002303e+01
1.099999756822994783e+02,5.768920527410057275e+01,-1.178398773200002303e+01
1.099999756822995352e+02,5.768920527410051591e+01,-1.178398773200002303e+01
1.099999756822995636e+02,5.768920527410048038e+01,-1.178398773200002303e+01
1.099999756822996062e+02,5.768920527410044485e+01,-1.178398773200002303e+01
1.099999756822996488e+02,5.768920527410040222e+01,-1.178398773200002303e+01
1.099999756822996630e+02,5.768920527410038090e+01,-1.178398773200002303e+01
1.099999756822996915e+02,5.768920527410035248e+01,-1.178398773200002303e+01
1.099999756822997199e+02,5.768920527410033117e+01,-1.178398773200002303e+01
1.099999756822997483e+02,5.768920527410030274e+01,-1.178398773200002303e+01
1.099999756822997767e+02,5.768920527410027432e+01,-1.178398773200002303e+01
1.099999756822997767e+02,5.768920527410026722e+01,-1.178398773200002303e+01
1.099999756822997909e+02,5.768920527410025301e+01,-1.178398773200002303e+01
1.099999756822998052e+02,5.768920527410023880e+01,-1.178398773200002303e+01
1.099999756822998194e+02,5.768920527410022459e+01,-1.178398773200002303e+01
1.099999756822998336e+02,5.768920527410021037e+01,-1.178398773200002303e+01
1.099999756822998478e+02,5.768920527410020327e+01,-1.178398773200002303e+01
1.099999756822998620e+02,5.768920527410018906e+01,-1.178398773200002303e+01
1.099999756822998762e+02,5.768920527410017485e+01,-1.178398773200002303e+01
1.099999756822998904e+02,5.768920527410016064e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410014643e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
1.099999756822999046e+02,5.768920527410013932e+01,-1.178398773200002303e+01
