ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
1.106296016471689132e-03,-2.891230436024984623e-03,-2.813668866125166451e-03
1.106296142922265271e-03,-2.891230266760785612e-03,-2.813668915011825061e-03
1.106296255733269516e-03,-2.891230115048656641e-03,-2.813668958746421735e-03
1.106296356268657473e-03,-2.891229979133394523e-03,-2.813668997844164139e-03
1.106296445755992116e-03,-2.891229857435308453e-03,-2.813669032768734753e-03
1.106296525300077410e-03,-2.891229748532683254e-03,-2.813669063937451666e-03
1.106296595895239938e-03,-2.891229651145973013e-03,-2.813669091725902894e-03
1.106296658436369982e-03,-2.891229564123584152e-03,-2.813669116472112749e-03
1.106296713728871896e-03,-2.891229486429087048e-03,-2.813669138480305761e-03
1.106296762497608124e-03,-2.891229417129691399e-03,-2.813669158024283308e-03
1.106296805394956125e-03,-2.891229355385885585e-03,-2.813669175350466765e-03
1.106296843008054524e-03,-2.891229300442113397e-03,-2.813669190680637058e-03
1.106296875865327416e-03,-2.891229251618369304e-03,-2.813669204214392771e-03
1.106296904442358132e-03,-2.891229208302651538e-03,-2.813669216131377965e-03
1.106296929167170174e-03,-2.891229169944157205e-03,-2.813669226593269301e-03
1.106296950424986427e-03,-2.891229136047163487e-03,-2.813669235745574516e-03
1.106296968562506559e-03,-2.891229106165522488e-03,-2.813669243719254393e-03
1.106296983891759183e-03,-2.891229079897694731e-03,-2.813669250632169078e-03
1.106296996693571311e-03,-2.891229056882301755e-03,-2.813669256590397780e-03
1.106297007220687382e-03,-2.891229036794101554e-03,-2.813669261689407102e-03
1.106297015700576265e-03,-2.891229019340371686e-03,-2.813669266015120067e-03
1.106297022337962002e-03,-2.891229004257665769e-03,-2.813669269644864142e-03
1.106297027317094126e-03,-2.891228991308883532e-03,-2.813669272648239902e-03
1.106297030803798541e-03,-2.891228980280629267e-03,-2.813669275087881273e-03
1.106297032947316109e-03,-2.891228970980853474e-03,-2.813669277020161997e-03
1.106297033881967770e-03,-2.891228963236705703e-03,-2.813669278495820134e-03
1.106297033728639466e-03,-2.891228956892624626e-03,-2.813669279560515341e-03
1.106297032596129147e-03,-2.891228951808602881e-03,-2.813669280255346686e-03
1.106297030582354367e-03,-2.891228947858634924e-03,-2.813669280617298041e-03
1.106297027775442112e-03,-2.891228944929315377e-03,-2.813669280679658314e-03
1.106297024254706976e-03,-2.891228942918578747e-03,-2.813669280472387048e-03
1.106297020091529578e-03,-2.891228941734567959e-03,-2.813669280022447483e-03
1.106297015350155401e-03,-2.891228941294608692e-03,-2.813669279354104498e-03
1.106297010088403646e-03,-2.891228941524297789e-03,-2.813669278489201297e-03
1.106297004358312765e-03,-2.891228942356669288e-03,-2.813669277447391863e-03
1.106296998206716172e-03,-2.891228943731453255e-03,-2.813669276246367774e-03
1.106296991675764178e-03,-2.891228945594412261e-03,-2.813669274902050321e-03
1.106296984803391932e-03,-2.891228947896726416e-03,-2.813669273428769189e-03
1.106296977623742479e-03,-2.891228950594461247e-03,-2.813669271839419443e-03
1.106296970167543843e-03,-2.891228953648072864e-03,-2.813669270145608119e-03
1.106296962462450335e-03,-2.891228957021974282e-03,-2.813669268357783023e-03
1.106296954533350684e-03,-2.891228960684137737e-03,-2.813669266485344187e-03
1.106296946402646458e-03,-2.891228964605735158e-03,-2.813669264536754026e-03
1.106296938090497962e-03,-2.891228968760825059e-03,-2.813669262519626676e-03
1.106296929615048887e-03,-2.891228973126057193e-03,-2.813669260440816462e-03
1.106296920992630569e-03,-2.891228977680417554e-03,-2.813669258306491627e-03
1.106296912237940020e-03,-2.891228982404992886e-03,-2.813669256122203286e-03
1.106296903364202555e-03,-2.891228987282762081e-03,-2.813669253892948311e-03
1.106296894383324665e-03,-2.891228992298404063e-03,-2.813669251623221804e-03
1.106296885306020002e-03,-2.891228997438134718e-03,-2.813669249317073476e-03
1.106296876141930809e-03,-2.891229002689543835e-03,-2.813669246978143211e-03
1.106296866899736994e-03,-2.891229008041461962e-03,-2.813669244609709637e-03
1.106296857587246978e-03,-2.891229013483840714e-03,-2.813669242214723951e-03
1.106296848211491598e-03,-2.891229019007632208e-03,-2.813669239795841149e-03
1.106296838778797172e-03,-2.891229024604694952e-03,-2.813669237355451245e-03
1.106296829294857280e-03,-2.891229030267704510e-03,-2.813669234895703995e-03
1.106296819764797162e-03,-2.891229035990062861e-03,-2.813669232418536219e-03
1.106296810193227497e-03,-2.891229041765837685e-03,-2.813669229925689144e-03
1.106296800584301646e-03,-2.891229047589685165e-03,-2.813669227418730528e-03
1.106296790941753601e-03,-2.891229053456799251e-03,-2.813669224899071567e-03
1.106296781268946558e-03,-2.891229059362853109e-03,-2.813669222367982947e-03
1.106296771568904356e-03,-2.891229065303952718e-03,-2.813669219826607417e-03
1.106296761844352029e-03,-2.891229071276593503e-03,-2.813669217275974535e-03
1.106296752097741176e-03,-2.891229077277621736e-03,-2.813669214717008041e-03
1.106296742331276195e-03,-2.891229083304197676e-03,-2.813669212150543206e-03
1.106296732546943563e-03,-2.891229089353767375e-03,-2.813669209577327694e-03
1.106296722746530044e-03,-2.891229095424031025e-03,-2.813669206998037613e-03
1.106296712931643077e-03,-2.891229101512919966e-03,-2.813669204413282721e-03
1.106296703103731372e-03,-2.891229107618569806e-03,-2.813669201823605984e-03
1.106296693264094888e-03,-2.891229113739306102e-03,-2.813669199229501365e-03
