q0 (),q1,q2,q3
4.591921281768466812e-01,-4.446749719347364294e-01,2.015959415264092780e-01,7.421359950274208916e-01
4.591921281768255869e-01,-4.446749719347105056e-01,2.015959415263564036e-01,7.421359950274639683e-01
4.591921281768066021e-01,-4.446749719346871355e-01,2.015959415263087751e-01,7.421359950275027151e-01
4.591921281767894492e-01,-4.446749719346660412e-01,2.015959415262658372e-01,7.421359950275375761e-01
4.591921281767741281e-01,-4.446749719346471674e-01,2.015959415262273124e-01,7.421359950275689954e-01
4.591921281767600838e-01,-4.446749719346301810e-01,2.015959415261925347e-01,7.421359950275971951e-01
4.591921281767476493e-01,-4.446749719346148044e-01,2.015959415261612542e-01,7.421359950276225081e-01
4.591921281767363805e-01,-4.446749719346009821e-01,2.015959415261331933e-01,7.421359950276453787e-01
4.591921281767263885e-01,-4.446749719345885477e-01,2.015959415261079080e-01,7.421359950276659179e-01
4.591921281767173402e-01,-4.446749719345773899e-01,2.015959415260851761e-01,7.421359950276844586e-01
4.591921281767090135e-01,-4.446749719345673424e-01,2.015959415260646648e-01,7.421359950277011119e-01
4.591921281767015750e-01,-4.446749719345582941e-01,2.015959415260460963e-01,7.421359950277160999e-01
4.591921281766950247e-01,-4.446749719345501339e-01,2.015959415260295817e-01,7.421359950277296447e-01
4.591921281766890295e-01,-4.446749719345427510e-01,2.015959415260145660e-01,7.421359950277418571e-01
4.591921281766837004e-01,-4.446749719345361451e-01,2.015959415260011045e-01,7.421359950277526263e-01
4.591921281766788154e-01,-4.446749719345302054e-01,2.015959415259889753e-01,7.421359950277627293e-01
4.591921281766744856e-01,-4.446749719345248208e-01,2.015959415259780674e-01,7.421359950277715001e-01
4.591921281766704888e-01,-4.446749719345199914e-01,2.015959415259682141e-01,7.421359950277794937e-01
4.591921281766669916e-01,-4.446749719345156615e-01,2.015959415259593324e-01,7.421359950277869322e-01
4.591921281766637719e-01,-4.446749719345117202e-01,2.015959415259513943e-01,7.421359950277931494e-01
4.591921281766609964e-01,-4.446749719345082230e-01,2.015959415259442611e-01,7.421359950277990336e-01
4.591921281766582763e-01,-4.446749719345051144e-01,2.015959415259377940e-01,7.421359950278043627e-01
4.591921281766560559e-01,-4.446749719345022278e-01,2.015959415259319654e-01,7.421359950278089146e-01
4.591921281766539464e-01,-4.446749719344996743e-01,2.015959415259268028e-01,7.421359950278131334e-01
4.591921281766520591e-01,-4.446749719344973428e-01,2.015959415259220289e-01,7.421359950278170192e-01
4.591921281766503937e-01,-4.446749719344952334e-01,2.015959415259177545e-01,7.421359950278205719e-01
4.591921281766488949e-01,-4.446749719344933460e-01,2.015959415259139520e-01,7.421359950278237916e-01
4.591921281766475071e-01,-4.446749719344916807e-01,2.015959415259105381e-01,7.421359950278263451e-01
4.591921281766462304e-01,-4.446749719344902374e-01,2.015959415259074849e-01,7.421359950278287876e-01
4.591921281766451202e-01,-4.446749719344888496e-01,2.015959415259048204e-01,7.421359950278311191e-01
4.591921281766441210e-01,-4.446749719344876284e-01,2.015959415259022669e-01,7.421359950278331175e-01
4.591921281766432328e-01,-4.446749719344864626e-01,2.015959415258999909e-01,7.421359950278351159e-01
4.591921281766424556e-01,-4.446749719344855190e-01,2.015959415258979925e-01,7.421359950278365591e-01
4.591921281766416785e-01,-4.446749719344845753e-01,2.015959415258961052e-01,7.421359950278381135e-01
4.591921281766410678e-01,-4.446749719344837981e-01,2.015959415258945231e-01,7.421359950278395567e-01
4.591921281766404572e-01,-4.446749719344830765e-01,2.015959415258930520e-01,7.421359950278406670e-01
4.591921281766400686e-01,-4.446749719344824658e-01,2.015959415258917753e-01,7.421359950278417772e-01
4.591921281766395690e-01,-4.446749719344818552e-01,2.015959415258905540e-01,7.421359950278426654e-01
4.591921281766390694e-01,-4.446749719344813556e-01,2.015959415258894438e-01,7.421359950278435536e-01
