ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
3.583640938368859094e-03,-1.803940583681496430e-05,-2.147980698084403072e-03
3.583640931606005796e-03,-1.803940583631109151e-05,-2.147980709367389770e-03
3.583640924843152064e-03,-1.803940583580721194e-05,-2.147980720650376901e-03
3.583640918080298766e-03,-1.803940583530333236e-05,-2.147980731933363599e-03
3.583640911317445468e-03,-1.803940583479945618e-05,-2.147980743216350297e-03
3.583640904554591736e-03,-1.803940583429558000e-05,-2.147980754499337862e-03
3.583640897791738437e-03,-1.803940583379170043e-05,-2.147980765782324560e-03
3.583640891028884706e-03,-1.803940583328782763e-05,-2.147980777065312125e-03
3.583640884266031407e-03,-1.803940583278394467e-05,-2.147980788348297955e-03
3.583640877503177242e-03,-1.803940583228006510e-05,-2.147980799631285086e-03
3.583640870740323510e-03,-1.803940583177619230e-05,-2.147980810914271784e-03
3.583640863977469344e-03,-1.803940583127231273e-05,-2.147980822197258482e-03
3.583640857214615612e-03,-1.803940583076843316e-05,-2.147980833480245180e-03
3.583640850451762314e-03,-1.803940583026456375e-05,-2.147980844763231444e-03
3.583640843688908582e-03,-1.803940582976068079e-05,-2.147980856046218575e-03
3.583640836926054417e-03,-1.803940582925680122e-05,-2.147980867329205273e-03
3.583640830163200685e-03,-1.803940582875292843e-05,-2.147980878612191537e-03
3.583640823400346519e-03,-1.803940582824904547e-05,-2.147980889895178234e-03
3.583640816637492787e-03,-1.803940582774516928e-05,-2.147980901178164932e-03
3.583640809874638622e-03,-1.803940582724129310e-05,-2.147980912461151630e-03
3.583640803111784890e-03,-1.803940582673741353e-05,-2.147980923744137894e-03
3.583640796348930724e-03,-1.803940582623353735e-05,-2.147980935027124158e-03
3.583640789586076125e-03,-1.803940582572966116e-05,-2.147980946310110856e-03
3.583640782823221960e-03,-1.803940582522577820e-05,-2.147980957593097553e-03
3.583640776060368228e-03,-1.803940582472190202e-05,-2.147980968876083818e-03
3.583640769297514062e-03,-1.803940582421802584e-05,-2.147980980159070082e-03
3.583640762534659463e-03,-1.803940582371414965e-05,-2.147980991442056346e-03
3.583640755771805297e-03,-1.803940582321026669e-05,-2.147981002725042610e-03
3.583640749008950698e-03,-1.803940582270639051e-05,-2.147981014008028874e-03
3.583640742246096099e-03,-1.803940582220251433e-05,-2.147981025291015571e-03
3.583640735483241933e-03,-1.803940582169863475e-05,-2.147981036574002269e-03
3.583640728720387334e-03,-1.803940582119475857e-05,-2.147981047856988533e-03
3.583640721957533602e-03,-1.803940582069088239e-05,-2.147981059139974797e-03
3.583640715194678569e-03,-1.803940582018700282e-05,-2.147981070422961061e-03
3.583640708431823970e-03,-1.803940581968312324e-05,-2.147981081705946892e-03
3.583640701668969371e-03,-1.803940581917924706e-05,-2.147981092988933156e-03
3.583640694906114338e-03,-1.803940581867536749e-05,-2.147981104271919420e-03
3.583640688143260606e-03,-1.803940581817148792e-05,-2.147981115554905684e-03
